item,p,k,n,seed,alpha_forced,sub,onmi,mean_umax,m_used,extra_json
k_interaction,0.8,4,1000,1,,robust,0.8483103596177037,0.9192042790548844,1.5,
k_interaction,0.8,8,2000,1,,robust,0.8287367397874659,0.8211546867202835,1.5,
k_interaction,0.8,16,4000,1,,robust,0.6497582216846776,0.645701433080332,1.3,
k_interaction,0.8,32,8000,1,,robust,0.0,0.03126148450348613,1.1,
census,0.0,32,8000,2,,flags,,,,"{""flag_both"": 0.85675, ""flag_text"": 0.071125, ""flag_img"": 0.072125, ""flag_none"": 0.0, ""content_dim"": 16, ""frac_zero_content_rows"": 0.0, ""effective_rank_nonzero_rows"": 16}"
mselect,0.0,32,8000,2,,robust_fit,0.7638414736598791,0.5478507509071119,1.3,
mladder,0.0,32,8000,2,,ladder,,,,"{""floor"": 0.2734375, ""ladder"": {""1.5"": 0.03125016311915949, ""1.3"": 0.5478507509071119, ""1.2"": 0.7566762051993087, ""1.1"": 0.9009410108589657}}"
census,0.4,32,8000,2,,flags,,,,"{""flag_both"": 0.29675, ""flag_text"": 0.25725, ""flag_img"": 0.247625, ""flag_none"": 0.198375, ""content_dim"": 16, ""frac_zero_content_rows"": 0.198375, ""effective_rank_nonzero_rows"": 16}"
mselect,0.4,32,8000,2,,robust_fit,0.3455784243147747,0.34852637037821727,1.1,
mladder,0.4,32,8000,2,,ladder,,,,"{""floor"": 0.2734375, ""ladder"": {""1.5"": 0.03125006692214922, ""1.3"": 0.03125017326976616, ""1.2"": 0.031250317764304904, ""1.1"": 0.34852637037821727}}"
census,0.8,32,8000,2,,flags,,,,"{""flag_both"": 0.03275, ""flag_text"": 0.151625, ""flag_img"": 0.148375, ""flag_none"": 0.66725, ""content_dim"": 16, ""frac_zero_content_rows"": 0.66725, ""effective_rank_nonzero_rows"": 16}"
mselect,0.8,32,8000,2,,robust_fit,0.0,0.03125779819697707,1.1,
mladder,0.8,32,8000,2,,ladder,,,,"{""floor"": 0.2734375, ""ladder"": {""1.5"": 0.03125012334973122, ""1.3"": 0.031250194797948896, ""1.2"": 0.031250790270067476, ""1.1"": 0.03125779819697707}}"
structure_alone,0,32,8000,2,0.0,struct,0.0,0.0312616250000393,1.1,
content_alone,0.8,32,8000,2,1.0,content,0.0003881840450570273,0.8797487185260348,1.5,
alpha_sweep,0.8,32,8000,2,0.05,fixed_alpha,0.0,0.03126133305274782,1.1,
alpha_sweep,0.8,32,8000,2,0.15,fixed_alpha,0.0,0.031261639724266765,1.1,
alpha_sweep,0.8,32,8000,2,0.3,fixed_alpha,0.0,0.03126006146366907,1.1,
alpha_sweep,0.8,32,8000,2,0.5,fixed_alpha,0.0,0.20375747378941167,1.1,
alpha_sweep,0.8,32,8000,2,0.7,fixed_alpha,0.0011046281177540251,0.31728391196050965,1.2,
alpha_sweep,0.8,32,8000,2,0.85,fixed_alpha,0.0005313921751096684,0.31856732663835574,1.3,
onset,0.0,32,8000,2,,robust,0.7638414736598791,0.5478507509071119,1.3,
onset,0.2,32,8000,2,,robust,0.483727048054292,0.33903189279840656,1.2,
onset,0.4,32,8000,2,,robust,0.3455784243147747,0.34852637037821727,1.1,
onset,0.6,32,8000,2,,robust,0.03372109892576669,0.06198348096454369,1.1,
onset,0.7,32,8000,2,,robust,0.0,0.031257947975164145,1.1,
onset,0.8,32,8000,2,,robust,0.0,0.03125779819697707,1.1,
