exp,dataset,variant,seed,cond,metric,value
B,crisismmd,default,2,content_sensitivity,auc_flip,0.28951261827974156
B,crisismmd,default,2,content_sensitivity,spearman_flip,-0.2793686986240625
B,crisismmd,default,2,content_flip_margin,auc_flip,0.7668891230535066
B,crisismmd,default,2,content_flip_margin,spearman_flip,0.35422772792844953
B,crisismmd,default,2,alpha,auc_flip,0.547306574703835
B,crisismmd,default,2,alpha,spearman_flip,0.0627874987249195
B,crisismmd,default,2,normshare,auc_flip,0.5457845046886143
B,crisismmd,default,2,normshare,spearman_flip,0.0607673362054767
B,crisismmd,default,2,structure_sensitivity_neg,auc_flip,0.7426211535800576
B,crisismmd,default,2,structure_sensitivity_neg,spearman_flip,0.3220181437023687
B,crisismmd,default,2,intervention_flip,agreement,0.8175
B,crisismmd,default,2,intervention_flip,precision,0.4823529411764706
B,crisismmd,default,2,intervention_flip,recall,0.2867132867132867
B,crisismmd,default,2,all,mean_content_sensitivity,0.3085351969195205
B,crisismmd,default,2,all,mean_structure_sensitivity,0.2208298707077467
_,crisismmd,default,2,core|crisismmd|default|2,_done,3.59
A,crisismmd,default,1,nbr,n_rules,4.0
A,crisismmd,default,1,nbr,coverage,0.97125
A,crisismmd,default,1,nbr,fidelity,0.93375
A,crisismmd,default,1,nbr,precision_covered,0.9613899613899614
A,crisismmd,default,1,nbr,majority,0.26
A,crisismmd,default,1,nbr,fidelity_with_fallback,0.96125
A,crisismmd,default,1,old,fidelity,0.315
A,crisismmd,default,1,old,n_rules,5.0
A,crisismmd,default,1,curve|r1,fidelity,0.26
A,crisismmd,default,1,curve|r1,coverage,0.3
A,crisismmd,default,1,curve|r2,fidelity,0.5075
A,crisismmd,default,1,curve|r2,coverage,0.57375
A,crisismmd,default,1,curve|r3,fidelity,0.75125
A,crisismmd,default,1,curve|r3,coverage,0.82625
A,crisismmd,default,1,curve|r4,fidelity,0.93375
A,crisismmd,default,1,curve|r4,coverage,0.97125
A,crisismmd,default,1,tree|L2,train,0.51
A,crisismmd,default,1,tree|L2,cv,0.46875
A,crisismmd,default,1,tree|L3,train,0.75375
A,crisismmd,default,1,tree|L3,cv,0.7462500000000001
A,crisismmd,default,1,tree|L4,train,0.97125
A,crisismmd,default,1,tree|L4,cv,0.9637500000000001
A,crisismmd,default,1,tree|L6,train,0.97875
A,crisismmd,default,1,tree|L6,cv,0.9675
A,crisismmd,default,1,tree|L8,train,0.98
A,crisismmd,default,1,tree|L8,cv,0.97
A,crisismmd,default,1,tree|L12,train,0.985
A,crisismmd,default,1,tree|L12,cv,0.96875
A,crisismmd,default,1,tree|L16,train,0.9875
A,crisismmd,default,1,tree|L16,cv,0.9662500000000002
A,crisismmd,default,1,tree|L24,train,0.9925
A,crisismmd,default,1,tree|L24,cv,0.9637500000000001
B,crisismmd,default,1,all,n_with_content,800
B,crisismmd,default,1,all,n_nodes,800
B,crisismmd,default,1,all,refit_fallback,0
B,crisismmd,default,1,all,flip_rate_refit,0.18125
B,crisismmd,default,1,all,flip_rate_seed_noise,0.14875
B,crisismmd,default,1,content_sensitivity,auc_flip,0.1627902079494604
B,crisismmd,default,1,content_sensitivity,spearman_flip,-0.4499930474376486
B,crisismmd,default,1,content_flip_margin,auc_flip,0.94036325348776
B,crisismmd,default,1,content_flip_margin,spearman_flip,0.5876472364919206
B,crisismmd,default,1,alpha,auc_flip,0.6202579626217426
