part,dataset,method,seed,threshold,precision,recall,f1
A,r0.1,nfmcd_robust,2,0.15,0.0,0.0,0.0
A,r0.1,nfmcd_robust,2,0.2,0.0,0.0,0.0
A,r0.1,nfmcd_robust,2,0.25,0.0,0.0,0.0
A,r0.1,nfmcd_robust,2,0.3,0.0,0.0,0.0
A,r0.1,nfmcd_robust,2,0.4,0.0,0.0,0.0
A,r0.1,nfmcd_robust,2,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_default,0,0.05,0.18518518518518517,0.603448275862069,0.2834008097165992
A,r0.2,nfmcd_default,0,0.1,0.24489795918367346,0.20689655172413793,0.22429906542056074
A,r0.2,nfmcd_default,0,0.15,0.21428571428571427,0.05172413793103448,0.08333333333333331
A,r0.2,nfmcd_default,0,0.2,0.5,0.017241379310344827,0.03333333333333333
A,r0.2,nfmcd_default,0,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_default,0,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_default,0,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_default,0,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_robust,0,0.05,0.2619047619047619,0.1896551724137931,0.22
A,r0.2,nfmcd_robust,0,0.1,0.21428571428571427,0.05172413793103448,0.08333333333333331
A,r0.2,nfmcd_robust,0,0.15,0.4,0.034482758620689655,0.06349206349206349
A,r0.2,nfmcd_robust,0,0.2,1.0,0.017241379310344827,0.03389830508474576
A,r0.2,nfmcd_robust,0,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_robust,0,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_robust,0,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_robust,0,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_default,2,0.05,0.15458937198067632,0.6956521739130435,0.25296442687747034
A,r0.2,nfmcd_default,2,0.1,0.125,0.17391304347826086,0.14545454545454545
A,r0.2,nfmcd_default,2,0.15,0.1875,0.06521739130434782,0.09677419354838708
A,r0.2,nfmcd_default,2,0.2,0.5,0.021739130434782608,0.041666666666666664
A,r0.2,nfmcd_default,2,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_default,2,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_default,2,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_default,2,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_robust,2,0.05,0.19230769230769232,0.21739130434782608,0.20408163265306123
A,r0.2,nfmcd_robust,2,0.1,0.2,0.08695652173913043,0.12121212121212122
A,r0.2,nfmcd_robust,2,0.15,0.0,0.0,0.0
A,r0.2,nfmcd_robust,2,0.2,0.0,0.0,0.0
A,r0.2,nfmcd_robust,2,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_robust,2,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_robust,2,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_robust,2,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_default,4,0.05,0.14204545454545456,0.5434782608695652,0.22522522522522523
A,r0.2,nfmcd_default,4,0.1,0.125,0.15217391304347827,0.13725490196078433
A,r0.2,nfmcd_default,4,0.15,0.16666666666666666,0.043478260869565216,0.06896551724137931
A,r0.2,nfmcd_default,4,0.2,0.0,0.0,0.0
A,r0.2,nfmcd_default,4,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_default,4,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_default,4,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_default,4,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_robust,4,0.05,0.10869565217391304,0.10869565217391304,0.10869565217391304
A,r0.2,nfmcd_robust,4,0.1,0.2,0.043478260869565216,0.07142857142857142
A,r0.2,nfmcd_robust,4,0.15,0.0,0.0,0.0
A,r0.2,nfmcd_robust,4,0.2,0.0,0.0,0.0
A,r0.2,nfmcd_robust,4,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_robust,4,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_robust,4,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_robust,4,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_default,1,0.05,0.19487179487179487,0.59375,0.29343629343629346
A,r0.3,nfmcd_default,1,0.1,0.2033898305084746,0.1875,0.1951219512195122
A,r0.3,nfmcd_default,1,0.15,0.0,0.0,0.0
A,r0.3,nfmcd_default,1,0.2,0.0,0.0,0.0
A,r0.3,nfmcd_default,1,0.25,0.0,0.0,0.0
A,r0.3,nfmcd_default,1,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_default,1,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_default,1,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_robust,1,0.05,0.12962962962962962,0.109375,0.11864406779661016
A,r0.3,nfmcd_robust,1,0.1,0.0,0.0,0.0
A,r0.3,nfmcd_robust,1,0.15,0.0,0.0,0.0
A,r0.3,nfmcd_robust,1,0.2,0.0,0.0,0.0
A,r0.3,nfmcd_robust,1,0.25,0.0,0.0,0.0
