method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
specsoft|cca,crisismmd,1,7,0.4560358594464529,0.6772584632318761,0.7314356033054681,0.9997208711769767,0.0,0.2725,,,0.98
specsoft|cca,crisismmd,2,7,0.4406687534654061,0.6498111834820058,0.7395110961089687,0.998965245905745,0.00125,0.2575,,,0.97
specsoft|raw,crisismmd,0,7,0.4586658132488473,0.678309233271124,0.7386772864636341,0.9998599091476563,0.0,0.28125,,,0.92
base:spectral_graph+content,crisismmd,0,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,,,,,0.11
base:spectral_graph+content,crisismmd,1,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,,,,,0.11
base:spectral_graph+content,crisismmd,2,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,,,,,0.14
base:kmeans_content,crisismmd,0,7,0.20111718439393395,0.3943730374016603,0.5610033449335877,,,,,,0.28
base:kmeans_content,crisismmd,1,7,0.1989244266278576,0.4064742121714391,0.5603964460777323,,,,,,0.23
base:louvain,crisismmd,0,6,0.5373657018496237,0.5763871869900328,0.7152286011426329,,,,,,0.08
base:louvain,crisismmd,1,7,0.5348812150920406,0.5336043897656694,0.6909389872845079,,,,,,0.06
specsoft|raw,crisismmd,1,7,0.4566640411196887,0.6663600869705526,0.7312915451671088,0.9999938660892431,0.0,0.2725,,,0.88
base:louvain,crisismmd,2,6,0.5352797328761504,0.5590786906111336,0.7232748244613503,,,,,,0.06
base:kmeans_content,crisismmd,2,7,0.21987580201939383,0.4209784745470222,0.6037258915449902,,,,,,0.28
specsoft|raw,crisismmd,2,7,0.45738309262937266,0.6739674328025175,0.7373892633715606,0.9999870284795125,0.0,0.27625,,,0.81
fcm+rawpca+m1.2,pheme,0,9,0.8682823879164933,0.0,0.24403567183897923,0.8265216288954538,0.1155,0.1695,1.2,,0.47
fcm+rawpca+m1.2,pheme,1,9,0.8645730466137214,0.0,0.2308813608657527,0.81707389476768,0.1545,0.199,1.2,,0.42
fcm+rawpca+m1.2,pheme,2,9,0.8771341178261702,0.013772235389428955,0.2513349051664694,0.849644874635283,0.079,0.1475,1.2,,0.55
kmsoft|cca,pheme,0,9,0.865393722149329,0.018596158780661343,0.26612333058132387,0.7557628930582924,0.204,0.1965,,,0.45
kmsoft|cca,pheme,1,9,0.8670471701815222,0.014588998333309622,0.24522603681582059,0.7501664619416997,0.2275,0.1725,,,0.31
default,pheme,0,9,0.8651647650342359,0.0,0.24983831226709954,0.41469564717264457,0.1305,0.191,1.5,,2.69
kmsoft|cca,pheme,2,9,0.8826528399386182,0.012098854778717971,0.24115408787490905,0.7725789352615593,0.104,0.14,,,0.34
kmsoft|raw,pheme,0,9,0.8659731960849514,0.0,0.21234190520948426,0.7367922286236376,0.135,0.1895,,,0.2
kmsoft|raw,pheme,1,9,0.8704642666099388,0.03705359316912449,0.26500901146183153,0.7052288080695719,0.293,0.143,,,0.23
kmsoft|raw,pheme,2,9,0.8710952263916742,0.019969663859423115,0.27387725837709176,0.7372594198336012,0.2035,0.174,,,0.23
gmm|cca,pheme,0,9,0.858365092773364,0.0,0.21000866970155652,0.9998374804868555,0.0,0.216,,,0.56
gmm|cca,pheme,1,9,0.8514810368334759,0.0,0.22605353015656565,0.9999999998527497,0.0,0.241,,,0.47
gmm|raw,pheme,0,9,0.8666333656017309,0.0,0.22885118679424948,0.988524162319532,0.0145,0.2265,,,0.23
gmm|raw,pheme,1,9,0.8676197104931694,0.02483031632953403,0.2670765019213044,0.9886919331236159,0.016,0.1645,,,0.24
gmm|cca,pheme,2,9,0.8699803881708243,0.010509857305541326,0.2532628463938169,0.9999888379226086,0.0,0.226,,,0.62
default,pheme,1,9,0.8570915188206584,0.0,0.26870436471210807,0.3977188361309434,0.1305,0.1945,1.5,,4.17
gmm|raw,pheme,2,9,0.8388317463202373,0.0,0.20529512212546153,0.9912353393814419,0.0165,0.302,,,0.23
fcmad|cca,pheme,0,9,0.8613708925285334,0.0,0.2656857088706939,0.41469780348431273,0.1305,0.191,1.5,,1.03
fcmad|cca,pheme,1,9,0.8570252805831089,0.0,0.2734396108655134,0.37827503424716585,0.1075,0.1755,1.5,,1.11
fcmad|cca,pheme,2,9,0.871196427796928,0.04081191419549468,0.26241136285399896,0.4189769945324666,0.1325,0.1545,1.5,,1.08
fcmad|raw,pheme,0,9,0.8602112070377169,0.0,0.2742479831933565,0.38977124833120264,0.1175,0.191,1.5,,0.25
fcmad|raw,pheme,1,9,0.8397728013699661,0.0,0.28372327917185414,0.36498832826529704,0.1255,0.1905,1.5,,0.31
