group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
mis,fakeddit,3,nfmcd_default,0.1,10,0.36138092895960905,0.31143942398117175,0.262717763671629,0.6281807643336309,0.6281807643336309,,2.52
mis,fakeddit,0,nfmcd_robust,0.1,10,0.8445977570951151,0.35185740142013316,0.8449040153426683,0.7542899192961459,0.7542899192961459,,0.69
mis,fakeddit,1,nfmcd_robust,0.1,10,0.7954817731414487,0.4265560552085209,0.8536397629865267,0.7406171809841534,0.7406171809841534,,0.69
mis,fakeddit,2,nfmcd_robust,0.1,10,0.8492571669020822,0.35113920491752615,0.8459714288806144,0.7236678642178423,0.7236678642178423,,0.62
mis,fakeddit,3,nfmcd_robust,0.1,10,0.8460127378500221,0.35388015216940294,0.8437699662872327,0.796858668592387,0.796858668592387,,0.62
mis,fakeddit,4,nfmcd_default,0.1,10,0.26991330883255193,0.2961920363274244,0.30555917453068476,0.6113601759431568,0.6113601759431568,,2.22
mis,fakeddit,4,nfmcd_robust,0.1,10,0.8482304714853148,0.3510282738348253,0.8435120648854436,0.7660548130603959,0.7660548130603959,,0.64
mis,fakeddit,0,nfmcd_default,0.2,10,0.25240874243191036,0.2540644168295936,0.17441789846313846,0.5878489558357545,0.5878489558357545,,2.61
mis,fakeddit,1,nfmcd_default,0.2,10,0.36105308626793486,0.373016686051709,0.25904757027331266,0.5813547177589541,0.5813547177589541,,2.75
mis,fakeddit,2,nfmcd_default,0.2,10,0.2531523640639344,0.27291295098078183,0.1730854733379952,0.5896393125151295,0.5896393125151295,,2.88
mis,fakeddit,3,nfmcd_default,0.2,10,0.2059915162466054,0.29883901052009654,0.18053371964729856,0.6059220280231368,0.6059220280231368,,2.92
mis,fakeddit,0,nfmcd_robust,0.2,10,0.8472699232837511,0.3472843792568055,0.843178604804368,0.7001118915310335,0.7001118915310335,,0.67
mis,fakeddit,1,nfmcd_robust,0.2,10,0.8424217246275547,0.3500547068258739,0.8432230136572263,0.7413256642553567,0.7413256642553567,,0.64
mis,fakeddit,2,nfmcd_robust,0.2,10,0.842147176480611,0.35219488328780474,0.841206947440211,0.7201355603969983,0.7201355603969983,,0.67
mis,fakeddit,3,nfmcd_robust,0.2,10,0.8425743574193415,0.3523605552780571,0.8425211479980235,0.7396270542295725,0.7396270542295725,,0.64
