exp,dataset,variant,seed,cond,metric,value
E2,crisismmd,default,2,all,recon_maxabs,5.551115123125783e-16
E2,crisismmd,default,2,all,n_with_content,800
E2,crisismmd,default,2,all,n_nodes,800
E2,crisismmd,default,2,all,flip_content_mean,0.11125
E2,crisismmd,default,2,all,flip_structure_mean,0.725
E2,crisismmd,default,2,all,spearman_alpha_delta_mean,0.5015590883735755
E2,crisismmd,default,2,all,spearman_alpha_delta,0.5140851626330667
E2,crisismmd,default,2,all,spearman_posthoc_delta,-0.1817954324928633
E2,crisismmd,default,2,all,spearman_normshare_delta,0.5163847131011142
E2,crisismmd,default,2,all,spearman_alpha_tvc,0.2541110376734964
E2,crisismmd,default,2,all,spearman_alpha_tvs,-0.5774948788982484
E2,crisismmd,default,2,all,mean_tv_content,0.3085351969195205
E2,crisismmd,default,2,all,mean_tv_structure,0.2208298707077467
E2,crisismmd,default,2,all,flip_content,0.10625
E2,crisismmd,default,2,all,flip_structure,0.72625
E2,crisismmd,default,2,all,alpha_std,0.09373389219737364
E2,crisismmd,default,2,all,flip_content_T1,0.03745318352059925
E2,crisismmd,default,2,all,flip_structure_T1,0.846441947565543
E2,crisismmd,default,2,all,alpha_mean_T1,0.49708294522290836
E2,crisismmd,default,2,all,flip_content_T2,0.13857677902621723
E2,crisismmd,default,2,all,flip_structure_T2,0.6928838951310862
E2,crisismmd,default,2,all,alpha_mean_T2,0.6372262268322993
E2,crisismmd,default,2,all,flip_content_T3,0.14285714285714285
E2,crisismmd,default,2,all,flip_structure_T3,0.6390977443609023
E2,crisismmd,default,2,all,alpha_mean_T3,0.6688962309559988
E1,crisismmd,default,2,rules,n_rules,5.0
E1,crisismmd,default,2,rules,fidelity,0.2725
E1,crisismmd,default,2,rules,coverage,1.0
E1,crisismmd,default,2,rules,majority_covered,0.25875
E1,crisismmd,default,2,rules,majority_all,0.25875
E1,crisismmd,default,2,rules,lift_pts,0.01375000000000004
E1,crisismmd,default,2,tree_A_L2,fit_acc,0.265
E1,crisismmd,default,2,tree_A_L2,cv_acc,0.23999999999999994
E1,crisismmd,default,2,tree_A_L3,fit_acc,0.26875
E1,crisismmd,default,2,tree_A_L3,cv_acc,0.23500000000000001
E1,crisismmd,default,2,tree_A_L4,fit_acc,0.2775
E1,crisismmd,default,2,tree_A_L4,cv_acc,0.24749999999999997
E1,crisismmd,default,2,tree_A_L6,fit_acc,0.28375
E1,crisismmd,default,2,tree_A_L6,cv_acc,0.24874999999999997
E1,crisismmd,default,2,tree_A_L8,fit_acc,0.3025
E1,crisismmd,default,2,tree_A_L8,cv_acc,0.24
E1,crisismmd,default,2,tree_A_L12,fit_acc,0.32
E1,crisismmd,default,2,tree_A_L12,cv_acc,0.24
E1,crisismmd,default,2,tree_A_L16,fit_acc,0.3375
E1,crisismmd,default,2,tree_A_L16,cv_acc,0.2375
E1,crisismmd,default,2,tree_A_L24,fit_acc,0.36125
E1,crisismmd,default,2,tree_A_L24,cv_acc,0.25875000000000004
E1,crisismmd,default,2,tree_A_L32,fit_acc,0.375
E1,crisismmd,default,2,tree_A_L32,cv_acc,0.26625
E1,crisismmd,default,2,tree_B_L2,fit_acc,0.49875
E1,crisismmd,default,2,tree_B_L2,cv_acc,0.46624999999999994
E1,crisismmd,default,2,tree_B_L3,fit_acc,0.73625
E1,crisismmd,default,2,tree_B_L3,cv_acc,0.73625
E1,crisismmd,default,2,tree_B_L4,fit_acc,0.84375
E1,crisismmd,default,2,tree_B_L4,cv_acc,0.8425
E1,crisismmd,default,2,tree_B_L6,fit_acc,0.91875
E1,crisismmd,default,2,tree_B_L6,cv_acc,0.8949999999999999
E1,crisismmd,default,2,tree_B_L8,fit_acc,0.92625
E1,crisismmd,default,2,tree_B_L8,cv_acc,0.9025000000000001
E1,crisismmd,default,2,tree_B_L12,fit_acc,0.9375
E1,crisismmd,default,2,tree_B_L12,cv_acc,0.9
E1,crisismmd,default,2,tree_B_L16,fit_acc,0.94625
E1,crisismmd,default,2,tree_B_L16,cv_acc,0.8975000000000002
E1,crisismmd,default,2,tree_B_L24,fit_acc,0.9575
E1,crisismmd,default,2,tree_B_L24,cv_acc,0.8975
E1,crisismmd,default,2,tree_B_L32,fit_acc,0.96625
E1,crisismmd,default,2,tree_B_L32,cv_acc,0.8937500000000002
E1,crisismmd,default,2,tree_C_L2,fit_acc,0.49875
E1,crisismmd,default,2,tree_C_L2,cv_acc,0.46624999999999994
E1,crisismmd,default,2,tree_C_L3,fit_acc,0.73625
E1,crisismmd,default,2,tree_C_L3,cv_acc,0.73625
