rate,blend,method,seed,threshold,precision,recall,f1
0.1,0.0,nfmcd_robust,4,0.05,0.06818181818181818,0.11538461538461539,0.0857142857142857
0.1,0.0,nfmcd_robust,4,0.1,0.1,0.038461538461538464,0.05555555555555555
0.1,0.0,nfmcd_robust,4,0.15,0.25,0.038461538461538464,0.06666666666666668
0.1,0.0,nfmcd_robust,4,0.2,1.0,0.038461538461538464,0.07407407407407407
0.1,0.0,nfmcd_robust,4,0.25,0.0,0.0,0.0
0.1,0.0,nfmcd_robust,4,0.3,0.0,0.0,0.0
0.1,0.0,nfmcd_robust,4,0.4,0.0,0.0,0.0
0.1,0.0,nfmcd_robust,4,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_default,0,0.05,0.09302325581395349,0.6666666666666666,0.16326530612244897
0.1,0.3,nfmcd_default,0,0.1,0.1509433962264151,0.3333333333333333,0.20779220779220778
0.1,0.3,nfmcd_default,0,0.15,0.23076923076923078,0.125,0.16216216216216217
0.1,0.3,nfmcd_default,0,0.2,0.5,0.08333333333333333,0.14285714285714285
0.1,0.3,nfmcd_default,0,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_default,0,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_default,0,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_default,0,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,0,0.05,0.11538461538461539,0.25,0.15789473684210525
0.1,0.3,nfmcd_robust,0,0.1,0.16666666666666666,0.125,0.14285714285714288
0.1,0.3,nfmcd_robust,0,0.15,0.3333333333333333,0.08333333333333333,0.13333333333333333
0.1,0.3,nfmcd_robust,0,0.2,1.0,0.041666666666666664,0.07999999999999999
0.1,0.3,nfmcd_robust,0,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,0,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,0,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,0,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_default,1,0.05,0.07960199004975124,0.8421052631578947,0.14545454545454545
0.1,0.3,nfmcd_default,1,0.1,0.11475409836065574,0.3684210526315789,0.175
0.1,0.3,nfmcd_default,1,0.15,0.1,0.05263157894736842,0.06896551724137931
0.1,0.3,nfmcd_default,1,0.2,0.0,0.0,0.0
0.1,0.3,nfmcd_default,1,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_default,1,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_default,1,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_default,1,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,1,0.05,0.11475409836065574,0.3684210526315789,0.175
0.1,0.3,nfmcd_robust,1,0.1,0.23529411764705882,0.21052631578947367,0.2222222222222222
0.1,0.3,nfmcd_robust,1,0.15,0.2,0.05263157894736842,0.08333333333333333
0.1,0.3,nfmcd_robust,1,0.2,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,1,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,1,0.3,0.0,0.0,0.0
