diagnostic,dataset,seed,variant,metric,value
d1_alpha_conf,fakeddit,1,text_only,alpha_q75,0.150000
d1_alpha_conf,fakeddit,1,text_only,alpha_q95,0.150000
d1_alpha_conf,fakeddit,1,text_only,conf_n,1200.000000
d1_alpha_conf,fakeddit,1,text_only,conf_mean,0.000000
d1_alpha_conf,fakeddit,1,text_only,conf_sd,0.000000
d1_alpha_conf,fakeddit,1,text_only,conf_q05,0.000000
d1_alpha_conf,fakeddit,1,text_only,conf_q25,0.000000
d1_alpha_conf,fakeddit,1,text_only,conf_q50,0.000000
d1_alpha_conf,fakeddit,1,text_only,conf_q75,0.000000
d1_alpha_conf,fakeddit,1,text_only,conf_q95,0.000000
d1_alpha_conf,fakeddit,1,text_only,n_flag_both,0.000000
d1_alpha_conf,fakeddit,1,text_only,n_flag_single,1200.000000
d1_alpha_conf,fakeddit,2,text_only,onmi,0.785803
d1_alpha_conf,fakeddit,2,text_only,alpha_n,1200.000000
d1_alpha_conf,fakeddit,2,text_only,alpha_mean,0.150000
d1_alpha_conf,fakeddit,2,text_only,alpha_sd,0.000000
d1_alpha_conf,fakeddit,2,text_only,alpha_q05,0.150000
d1_alpha_conf,fakeddit,2,text_only,alpha_q25,0.150000
d1_alpha_conf,fakeddit,2,text_only,alpha_q50,0.150000
d1_alpha_conf,fakeddit,2,text_only,alpha_q75,0.150000
d1_alpha_conf,fakeddit,2,text_only,alpha_q95,0.150000
d1_alpha_conf,fakeddit,2,text_only,conf_n,1200.000000
d1_alpha_conf,fakeddit,2,text_only,conf_mean,0.000000
d1_alpha_conf,fakeddit,2,text_only,conf_sd,0.000000
d1_alpha_conf,fakeddit,2,text_only,conf_q05,0.000000
d1_alpha_conf,fakeddit,2,text_only,conf_q25,0.000000
d1_alpha_conf,fakeddit,2,text_only,conf_q50,0.000000
d1_alpha_conf,fakeddit,2,text_only,conf_q75,0.000000
d1_alpha_conf,fakeddit,2,text_only,conf_q95,0.000000
d1_alpha_conf,fakeddit,2,text_only,n_flag_both,0.000000
d1_alpha_conf,fakeddit,2,text_only,n_flag_single,1200.000000
d1_alpha_conf,fakeddit,0,image_only,onmi,0.772019
d1_alpha_conf,fakeddit,0,image_only,alpha_n,1200.000000
d1_alpha_conf,fakeddit,0,image_only,alpha_mean,0.150000
d1_alpha_conf,fakeddit,0,image_only,alpha_sd,0.000000
d1_alpha_conf,fakeddit,0,image_only,alpha_q05,0.150000
d1_alpha_conf,fakeddit,0,image_only,alpha_q25,0.150000
d1_alpha_conf,fakeddit,0,image_only,alpha_q50,0.150000
d1_alpha_conf,fakeddit,0,image_only,alpha_q75,0.150000
d1_alpha_conf,fakeddit,0,image_only,alpha_q95,0.150000
d1_alpha_conf,fakeddit,0,image_only,conf_n,1200.000000
d1_alpha_conf,fakeddit,0,image_only,conf_mean,0.000000
