part,setting,seed,method,onmi,modularity,acc_all,acc_clean,acc_bad,auroc_agree,ap_agree,auroc_conf,ap_conf,prevalence,n_both,n_bad,agree_mean_clean,agree_sd_clean,agree_mean_bad,agree_sd_bad,dprime,ovl,conf_mean_clean,conf_mean_bad,error,secs
A,A|n300|mis0.0|clo|slo,0,b:alpha05,0.0,0.1064373155212742,0.33,0.3333333333333333,nan,,,,,,273,0,,,,,,,,,,0.14
A,A|n300|mis0.0|clo|slo,0,b:concat05,0.0,0.10210843520271776,0.3933333333333333,0.38095238095238093,nan,,,,,,273,0,,,,,,,,,,0.17
A,A|n300|mis0.0|clo|slo,0,b:text_only,0.05328860648615863,0.12342885038427266,0.4166666666666667,0.4139194139194139,nan,,,,,,273,0,,,,,,,,,,0.25
A,A|n300|mis0.0|clo|slo,0,b:image_only,0.048425355481357624,0.12540912508353752,0.41333333333333333,0.41025641025641024,nan,,,,,,273,0,,,,,,,,,,0.34
A,A|n300|mis0.0|clo|slo,0,b:structure_only,0.04456102825548636,0.12590128299732678,0.4266666666666667,0.4249084249084249,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|clo|slo,0,b:spectral,0.07283931345493411,0.049572531465805286,0.43666666666666665,0.4468864468864469,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|clo|slo,0,b:kmeans_content,0.0,0.0027202432334595475,0.32666666666666666,0.32967032967032966,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|clo|slo,0,d:default,,,,,,nan,nan,nan,nan,0.0,273,0,0.7974237567540637,0.13757651679524843,,,,,0.6016518569009368,,,0.0
A,A|n300|mis0.0|clo|slo,0,d:rank16,,,,,,nan,nan,nan,nan,0.0,273,0,0.32296591986755974,0.31278642955540503,,,,,0.24726714606586664,,,0.0
A,A|n300|mis0.0|clo|slo,0,d:cons,,,,,,nan,nan,nan,nan,0.0,273,0,0.7974237567540637,0.13757651679524843,,,,,0.5,,,0.14
A,A|n300|mis0.0|clo|slo,0,d:kmmatch,,,,,,nan,nan,,,0.0,273,0,,,,,,,,,,0.0
A,A|n300|mis0.0|clo|slo,0,d:random,,,,,,nan,nan,,,0.0,273,0,,,,,,,,,,0.01
A,A|n300|mis0.0|chi|slo,0,b:default,0.0,0.09644319795611489,0.5033333333333333,0.5164835164835165,nan,,,,,,273,0,,,,,,,,,,0.61
A,A|n300|mis0.0|chi|slo,0,b:rank16,0.1592079041074138,0.12231515579750502,0.6433333333333333,0.6593406593406593,nan,,,,,,273,0,,,,,,,,,,0.09
A,A|n300|mis0.0|chi|slo,0,b:robust,0.7094666240101035,0.12028035545221652,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.22
A,A|n300|mis0.0|chi|slo,0,b:alpha05,0.18222356783146565,0.12005590053464024,0.6666666666666666,0.6886446886446886,nan,,,,,,273,0,,,,,,,,,,0.14
A,A|n300|mis0.0|chi|slo,0,b:concat05,0.7924792195295405,0.12028035545221652,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.14
A,A|n300|mis0.0|chi|slo,0,b:text_only,0.12899042844865216,0.12681949974938736,0.5533333333333333,0.5641025641025641,nan,,,,,,273,0,,,,,,,,,,0.38
A,A|n300|mis0.0|chi|slo,0,b:image_only,0.12544580513020387,0.1253506488081978,0.5566666666666666,0.5641025641025641,nan,,,,,,273,0,,,,,,,,,,0.44
A,A|n300|mis0.0|chi|slo,0,b:structure_only,0.04456102825548636,0.12590128299732678,0.4266666666666667,0.4249084249084249,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|chi|slo,0,b:spectral,0.8613332551788364,0.12028035545221652,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.05
A,A|n300|mis0.0|chi|slo,0,b:kmeans_content,0.8613332551788364,0.12028035545221652,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|chi|slo,0,d:default,,,,,,nan,nan,nan,nan,0.0,273,0,0.8829641558759135,0.07885429972261894,,,,,0.6835759122362519,,,0.0
A,A|n300|mis0.0|chi|slo,0,d:rank16,,,,,,nan,nan,nan,nan,0.0,273,0,0.5987061708693252,0.2194336106904576,,,,,0.41640449037495464,,,0.0
A,A|n300|mis0.0|chi|slo,0,d:cons,,,,,,nan,nan,nan,nan,0.0,273,0,0.8829641558759135,0.07885429972261894,,,,,0.5,,,0.12
A,A|n300|mis0.0|chi|slo,0,d:kmmatch,,,,,,nan,nan,,,0.0,273,0,,,,,,,,,,0.01
A,A|n300|mis0.0|chi|slo,0,d:random,,,,,,nan,nan,,,0.0,273,0,,,,,,,,,,0.0
A,A|n300|mis0.1|chi|shi,0,b:default,0.8323083328655361,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.14
A,A|n300|mis0.1|chi|shi,0,b:rank16,0.8613332551788364,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.12
A,A|n300|mis0.1|chi|shi,0,b:robust,0.8530274518395322,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.16
A,A|n300|mis0.1|chi|shi,0,b:alpha05,0.8323083328655361,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.14
A,A|n300|mis0.1|chi|shi,0,b:concat05,0.8530274518395322,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.14
A,A|n300|mis0.1|chi|shi,0,b:text_only,0.8446431202659412,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|chi|shi,0,b:image_only,0.8446431202659412,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.05
A,A|n300|mis0.1|chi|shi,0,b:structure_only,0.8383804455302661,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.08
A,A|n300|mis0.1|chi|shi,0,b:spectral,0.8613332551788364,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.02
A,A|n300|mis0.1|chi|shi,0,b:kmeans_content,0.8353326623414179,0.48814857558783664,0.9933333333333333,1.0,0.9130434782608695,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|chi|shi,0,d:default,,,,,,0.8592631395145801,0.42302014758773715,0.8592631395145801,0.42302014758773715,0.08455882352941177,272,23,0.8702906720527803,0.10189475284477534,0.6721524933872969,0.1970104861234717,1.2633384505801677,0.3480006984459577,0.669242465986806,0.4871672659007312,,0.0
A,A|n300|mis0.1|chi|shi,0,d:rank16,,,,,,0.8683429369652522,0.591085616608788,0.8683429369652522,0.591085616608788,0.08455882352941177,272,23,0.5774419828848262,0.2275384744547151,0.11607927406816888,0.32943198564043663,1.6296405459469105,0.34992142482975375,0.3999049926957603,0.16853152235509916,,0.02
A,A|n300|mis0.1|chi|shi,0,d:cons,,,,,,0.8592631395145801,0.42302014758773715,0.9364414178452942,0.5031827417119994,0.08455882352941177,272,23,0.8702906720527803,0.10189475284477534,0.6721524933872969,0.1970104861234717,1.2633384505801677,0.3480006984459577,0.5370411535440656,0.09898925076207284,,0.14
A,A|n300|mis0.1|chi|shi,0,d:kmmatch,,,,,,1.0,1.0,,,0.08455882352941177,272,23,,,,,,,,,,0.02
A,A|n300|mis0.1|chi|shi,0,d:random,,,,,,0.4932774576567138,0.08968802284515356,,,0.08455882352941177,272,23,,,,,,,,,,0.02
A,A|n300|mis0.1|clo|shi,0,b:default,0.712900674465898,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.12
A,A|n300|mis0.1|clo|shi,0,b:rank16,0.8032277853632118,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.11
A,A|n300|mis0.1|clo|shi,0,b:robust,0.5970038760126624,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.14
A,A|n300|mis0.1|clo|shi,0,b:alpha05,0.7481417762097771,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.17
A,A|n300|mis0.1|clo|shi,0,b:concat05,0.0,0.24522565638001045,0.5566666666666666,0.570281124497992,0.5217391304347826,,,,,,272,23,,,,,,,,,,0.17
A,A|n300|mis0.1|clo|shi,0,b:text_only,0.8320507802005686,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.08
A,A|n300|mis0.1|clo|shi,0,b:image_only,0.8320507802005686,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.06
A,A|n300|mis0.1|clo|shi,0,b:structure_only,0.8383804455302661,0.4963894527279714,1.0,1.0,1.0,,,,,,272,23,,,,,,,,,,0.01
A,A|n300|mis0.1|clo|shi,0,b:spectral,0.8264014708168991,0.4864021925961327,0.99,0.9879518072289156,1.0,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|clo|shi,0,b:kmeans_content,0.0,-0.0011229471420454787,0.30666666666666664,0.3092369477911647,0.34782608695652173,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|clo|shi,0,d:default,,,,,,0.50305570106513,0.0858864063901273,0.50305570106513,0.0858864063901273,0.08455882352941177,272,23,0.7927806243240041,0.16137652933071858,0.8103658532916725,0.1095985880280188,-0.12748571644531975,0.6832547581630872,0.5990949195998906,0.6152450945839054,,0.0
A,A|n300|mis0.1|clo|shi,0,d:rank16,,,,,,0.534660380653047,0.12370064031393789,0.534660380653047,0.12370064031393789,0.08455882352941177,272,23,0.3307515769650228,0.32059779519378817,0.28096801059052146,0.36061648958984266,0.14590969392518452,0.5152785053256503,0.25503470584739746,0.24452193038702696,,0.0
A,A|n300|mis0.1|clo|shi,0,d:cons,,,,,,0.50305570106513,0.0858864063901273,0.5655666142832199,0.15042557615008295,0.08455882352941177,272,23,0.7927806243240041,0.16137652933071858,0.8103658532916725,0.1095985880280188,-0.12748571644531975,0.6832547581630872,0.5055646942011588,0.43975613669180175,,0.12
A,A|n300|mis0.1|clo|shi,0,d:kmmatch,,,,,,0.4666492055177231,0.07983758272470799,,,0.08455882352941177,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|clo|shi,0,d:random,,,,,,0.4932774576567138,0.08968802284515356,,,0.08455882352941177,272,23,,,,,,,,,,0.0
A,A|n300|mis0.1|chi|slo,0,b:default,0.0,0.0926735840387614,0.4666666666666667,0.4779116465863454,0.43478260869565216,,,,,,272,23,,,,,,,,,,0.17
A,A|n300|mis0.1|chi|slo,0,b:rank16,0.15491362099561656,0.12558902664847404,0.5833333333333334,0.5863453815261044,0.6086956521739131,,,,,,272,23,,,,,,,,,,0.14
A,A|n300|mis0.1|chi|slo,0,b:robust,0.6398118835258109,0.11944031591111606,0.98,1.0,0.8695652173913043,,,,,,272,23,,,,,,,,,,0.22
A,A|n300|mis0.1|chi|slo,0,b:alpha05,0.07629691189549337,0.1166685926709735,0.58,0.6024096385542169,0.5217391304347826,,,,,,272,23,,,,,,,,,,0.16
A,A|n300|mis0.1|chi|slo,0,b:concat05,0.6677422139469297,0.11845728795388727,0.99,1.0,0.8695652173913043,,,,,,272,23,,,,,,,,,,0.14
A,A|n300|mis0.1|chi|slo,0,b:text_only,0.12607896445584466,0.12536081254176876,0.5566666666666666,0.5502008032128514,0.6086956521739131,,,,,,272,23,,,,,,,,,,0.22
A,A|n300|mis0.1|chi|slo,0,b:image_only,0.07666743867498749,0.12100831546558254,0.44,0.4497991967871486,0.391304347826087,,,,,,272,23,,,,,,,,,,0.75
A,A|n300|mis0.1|chi|slo,0,b:structure_only,0.04456102825548636,0.12590128299732678,0.4266666666666667,0.43373493975903615,0.4782608695652174,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|chi|slo,0,b:spectral,0.8272124036553389,0.11569828678436175,0.99,1.0,0.8695652173913043,,,,,,272,23,,,,,,,,,,0.05
A,A|n300|mis0.1|chi|slo,0,b:kmeans_content,0.8353326623414179,0.11804015718979727,0.9933333333333333,1.0,0.9130434782608695,,,,,,272,23,,,,,,,,,,0.01
A,A|n300|mis0.1|chi|slo,0,d:default,,,,,,0.8592631395145801,0.42302014758773715,0.8592631395145801,0.42302014758773715,0.08455882352941177,272,23,0.8702906720527803,0.10189475284477534,0.6721524933872969,0.1970104861234717,1.2633384505801677,0.3480006984459577,0.669242465986806,0.4871672659007312,,0.02
A,A|n300|mis0.1|chi|slo,0,d:rank16,,,,,,0.8683429369652522,0.591085616608788,0.8683429369652522,0.591085616608788,0.08455882352941177,272,23,0.5774419828848262,0.2275384744547151,0.11607927406816888,0.32943198564043663,1.6296405459469105,0.34992142482975375,0.3999049926957603,0.16853152235509916,,0.0
A,A|n300|mis0.1|chi|slo,0,d:cons,,,,,,0.8592631395145801,0.42302014758773715,0.6403003317618299,0.19760278121433267,0.08455882352941177,272,23,0.8702906720527803,0.10189475284477534,0.6721524933872969,0.1970104861234717,1.2633384505801677,0.3480006984459577,0.5119074082307088,0.37108936306754364,,0.17
A,A|n300|mis0.1|chi|slo,0,d:kmmatch,,,,,,1.0,1.0,,,0.08455882352941177,272,23,,,,,,,,,,0.01
A,A|n300|mis0.1|chi|slo,0,d:random,,,,,,0.4932774576567138,0.08968802284515356,,,0.08455882352941177,272,23,,,,,,,,,,0.0
A,A|n300|mis0.2|chi|shi,0,b:default,0.816037165092764,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.12
A,A|n300|mis0.2|chi|shi,0,b:rank16,0.8527735511981436,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.12
A,A|n300|mis0.2|chi|shi,0,b:robust,0.8151852728805715,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.19
A,A|n300|mis0.2|chi|shi,0,b:alpha05,0.8151852728805715,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.14
A,A|n300|mis0.2|chi|shi,0,b:concat05,0.8214479476162466,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.19
A,A|n300|mis0.2|chi|shi,0,b:text_only,0.8446431202659412,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.05
A,A|n300|mis0.2|chi|shi,0,b:image_only,0.8297537509555508,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.06
A,A|n300|mis0.2|chi|shi,0,b:structure_only,0.8383804455302661,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.03
A,A|n300|mis0.2|chi|shi,0,b:spectral,0.8489626828122596,0.4924831812132914,0.9966666666666667,1.0,1.0,,,,,,273,51,,,,,,,,,,0.02
A,A|n300|mis0.2|chi|shi,0,b:kmeans_content,0.7475982904671072,0.4577628390431132,0.9666666666666667,1.0,0.8627450980392157,,,,,,273,51,,,,,,,,,,0.03
A,A|n300|mis0.2|chi|shi,0,d:default,,,,,,0.8286521815933582,0.5777631807799419,0.8286521815933582,0.5777631807799419,0.18681318681318682,273,51,0.8624922602917927,0.09427243310115534,0.7006485529979686,0.1502916698172128,1.2901160867297037,0.39772125066242714,0.6650780925210833,0.5019141161268332,,0.02
A,A|n300|mis0.2|chi|shi,0,d:rank16,,,,,,0.9254548666313371,0.7906867477958396,0.9254548666313371,0.7906867477958396,0.18681318681318682,273,51,0.5938378241119544,0.22036675040782677,0.09459513688775795,0.2376435706874222,2.1785005901033547,0.2620561738208797,0.41453275671953455,0.13793409359387168,,0.0
A,A|n300|mis0.2|chi|shi,0,d:cons,,,,,,0.8286521815933582,0.5777631807799419,0.8013601837131248,0.5755364936302713,0.18681318681318682,273,51,0.8624922602917927,0.09427243310115534,0.7006485529979686,0.1502916698172128,1.2901160867297037,0.39772125066242714,0.5565050344462109,0.2540369088811995,,0.11
A,A|n300|mis0.2|chi|shi,0,d:kmmatch,,,,,,1.0,1.0,,,0.18681318681318682,273,51,,,,,,,,,,0.02
A,A|n300|mis0.2|chi|shi,0,d:random,,,,,,0.518018018018018,0.2109341075026902,,,0.18681318681318682,273,51,,,,,,,,,,0.0
A,A|n300|mis0.1|clo|slo,0,b:default,0.0,0.0912098845789708,0.4266666666666667,0.40562248995983935,0.5217391304347826,,,,,,272,23,,,,,,,,,,0.16
A,A|n300|mis0.1|clo|slo,0,b:rank16,0.06319201493386029,0.11752459136221874,0.45666666666666667,0.44176706827309237,0.4782608695652174,,,,,,272,23,,,,,,,,,,0.09
A,A|n300|mis0.1|clo|slo,0,b:robust,0.061983534127181494,0.11620013853308085,0.43,0.42971887550200805,0.391304347826087,,,,,,272,23,,,,,,,,,,0.19
A,A|n300|mis0.1|clo|slo,0,b:alpha05,0.0,0.09792327425373132,0.37,0.3453815261044177,0.43478260869565216,,,,,,272,23,,,,,,,,,,0.16
A,A|n300|mis0.1|clo|slo,0,b:concat05,0.0,0.10599721193472934,0.35333333333333333,0.3493975903614458,0.2608695652173913,,,,,,272,23,,,,,,,,,,0.17
A,A|n300|mis0.1|clo|slo,0,b:text_only,0.048933873483460566,0.1231630965972377,0.4266666666666667,0.42570281124497994,0.30434782608695654,,,,,,272,23,,,,,,,,,,0.19
A,A|n300|mis0.1|clo|slo,0,b:image_only,0.05287690026150327,0.12262041587770103,0.42,0.41365461847389556,0.34782608695652173,,,,,,272,23,,,,,,,,,,0.39
A,A|n300|mis0.1|clo|slo,0,b:structure_only,0.04456102825548636,0.12590128299732678,0.4266666666666667,0.43373493975903615,0.4782608695652174,,,,,,272,23,,,,,,,,,,0.02
A,A|n300|mis0.1|clo|slo,0,b:spectral,0.024759814224638577,0.036745325378703474,0.41,0.3855421686746988,0.5217391304347826,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|clo|slo,0,b:kmeans_content,0.0,-0.009872866312096239,0.30666666666666664,0.3092369477911647,0.34782608695652173,,,,,,272,23,,,,,,,,,,0.03
A,A|n300|mis0.1|clo|slo,0,d:default,,,,,,0.50305570106513,0.0858864063901273,0.50305570106513,0.0858864063901273,0.08455882352941177,272,23,0.7927806243240041,0.16137652933071858,0.8103658532916725,0.1095985880280188,-0.12748571644531975,0.6832547581630872,0.5990949195998906,0.6152450945839054,,0.0
A,A|n300|mis0.1|clo|slo,0,d:rank16,,,,,,0.534660380653047,0.12370064031393789,0.534660380653047,0.12370064031393789,0.08455882352941177,272,23,0.3307515769650228,0.32059779519378817,0.28096801059052146,0.36061648958984266,0.14590969392518452,0.5152785053256503,0.25503470584739746,0.24452193038702696,,0.02
A,A|n300|mis0.1|clo|slo,0,d:cons,,,,,,0.50305570106513,0.0858864063901273,0.45084686572376464,0.0764014938280665,0.08455882352941177,272,23,0.7927806243240041,0.16137652933071858,0.8103658532916725,0.1095985880280188,-0.12748571644531975,0.6832547581630872,0.4958283317772937,0.5451628429327772,,0.12
A,A|n300|mis0.1|clo|slo,0,d:kmmatch,,,,,,0.4666492055177231,0.07983758272470799,,,0.08455882352941177,272,23,,,,,,,,,,0.01
A,A|n300|mis0.1|clo|slo,0,d:random,,,,,,0.4932774576567138,0.08968802284515356,,,0.08455882352941177,272,23,,,,,,,,,,0.0
A,A|n300|mis0.2|clo|shi,0,b:default,0.6617499635769045,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.14
A,A|n300|mis0.2|clo|shi,0,b:rank16,0.8034448250273916,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.11
A,A|n300|mis0.2|clo|shi,0,b:robust,0.6057237206966057,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.16
A,A|n300|mis0.2|clo|shi,0,b:alpha05,0.720752377205365,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.12
A,A|n300|mis0.2|clo|shi,0,b:concat05,0.6915431286070669,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.17
A,A|n300|mis0.2|clo|shi,0,b:text_only,0.8320507802005686,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.08
A,A|n300|mis0.2|clo|shi,0,b:image_only,0.8320507802005686,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.09
A,A|n300|mis0.2|clo|shi,0,b:structure_only,0.8383804455302661,0.4963894527279714,1.0,1.0,1.0,,,,,,273,51,,,,,,,,,,0.02
A,A|n300|mis0.2|clo|shi,0,b:spectral,0.7990492979569983,0.4772515467973728,0.9833333333333333,0.9864864864864865,0.9803921568627451,,,,,,273,51,,,,,,,,,,0.03
A,A|n300|mis0.2|clo|shi,0,b:kmeans_content,0.0,-0.003066620853417218,0.3,0.28378378378378377,0.3137254901960784,,,,,,273,51,,,,,,,,,,0.03
A,A|n300|mis0.2|clo|shi,0,d:default,,,,,,0.56350468115174,0.23073731829123112,0.56350468115174,0.23073731829123112,0.18681318681318682,273,51,0.7900225143983771,0.17097560828978356,0.7588666490927871,0.170703792397515,0.1823689422550628,0.7546369899311076,0.5976311591437813,0.5642146381760329,,0.0
A,A|n300|mis0.2|clo|shi,0,d:rank16,,,,,,0.5043278572690337,0.2034208958564173,0.5043278572690337,0.2034208958564173,0.18681318681318682,273,51,0.31388388238045106,0.31697010056914493,0.31206146120812867,0.3457561325364037,0.005494589950094302,0.6287758346581875,0.24234206040413045,0.25705000555738394,,0.0
A,A|n300|mis0.2|clo|shi,0,d:cons,,,,,,0.56350468115174,0.23073731829123112,0.5783430489312842,0.2632114066631754,0.18681318681318682,273,51,0.7900225143983771,0.17097560828978356,0.7588666490927871,0.170703792397515,0.1823689422550628,0.7546369899311076,0.5146893216746159,0.4360582468281431,,0.19
A,A|n300|mis0.2|clo|shi,0,d:kmmatch,,,,,,0.4368044515103338,0.17038964673894935,,,0.18681318681318682,273,51,,,,,,,,,,0.01
A,A|n300|mis0.2|clo|shi,0,d:random,,,,,,0.518018018018018,0.2109341075026902,,,0.18681318681318682,273,51,,,,,,,,,,0.0
A,A|n300|mis0.4|chi|shi,0,b:default,0.7810286607438355,0.4963894527279714,1.0,1.0,1.0,,,,,,261,92,,,,,,,,,,0.14
A,A|n300|mis0.4|chi|shi,0,b:rank16,0.8467647771038571,0.4963894527279714,1.0,1.0,1.0,,,,,,261,92,,,,,,,,,,0.09
