rate,blend,condition,seed,n_nodes,n_overlap,onmi_standard,strict_acc_all,lenient_acc_all,strict_acc_overlap,lenient_acc_overlap,strict_acc_nonoverlap,frac_hard_c1,frac_hard_c2,frac_hard_neither,mean_degree_overlap,mean_degree_nonoverlap,spearman_degree_vs_strict_correct,note,error,secs
0.1,0.7,combined,4,300,26,0.865,0.99,1.0,0.8846,1.0,1.0,0.8846,0.1154,0.0,20.846,15.847,-0.1564,,,0.12
0.1,0.7,edge_only,4,300,26,0.8558,0.99,1.0,0.8846,1.0,1.0,0.8846,0.1154,0.0,20.846,15.847,-0.1564,,,0.11
0.1,0.7,content_only,4,300,26,0.8556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.346,14.953,,,,0.11
0.1,0.7,combined,2,300,24,0.8481,0.99,0.9967,0.9167,1.0,0.9964,0.9167,0.0833,0.0,18.292,16.004,-0.1173,,,0.14
0.1,0.7,edge_only,2,300,24,0.8238,0.9967,0.9967,1.0,1.0,0.9964,1.0,0.0,0.0,18.292,16.004,-0.0924,,,0.2
0.1,0.7,content_only,2,300,24,0.8417,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.042,15.091,,,,0.11
0.1,1.0,combined,0,300,24,0.89,0.98,0.9967,0.75,0.9583,1.0,0.75,0.2083,0.0417,21.667,16.435,-0.1956,,,0.12
0.1,1.0,edge_only,0,300,24,0.8649,0.99,0.9967,0.875,0.9583,1.0,0.875,0.0833,0.0417,21.667,16.435,-0.1565,,,0.16
0.1,1.0,content_only,0,300,24,0.8634,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.75,15.457,,,,0.14
0.1,0.7,combined,3,300,26,0.8881,0.9933,1.0,0.9231,1.0,1.0,0.9231,0.0769,0.0,21.308,15.949,-0.0373,,,0.12
0.1,0.7,edge_only,3,300,26,0.8705,0.9933,1.0,0.9231,1.0,1.0,0.9231,0.0769,0.0,21.308,15.949,-0.0373,,,0.2
0.1,0.7,content_only,3,300,26,0.8584,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.923,15.285,,,,0.14
0.1,1.0,combined,1,300,19,0.9177,0.9867,0.9967,0.8421,1.0,0.9964,0.8421,0.1579,0.0,21.105,16.167,-0.1082,,,0.12
0.1,1.0,edge_only,1,300,19,0.8746,0.9933,0.9967,0.9474,1.0,0.9964,0.9474,0.0526,0.0,21.105,16.167,-0.0548,,,0.12
0.1,1.0,content_only,1,300,19,0.8802,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,15.345,,,,0.11
0.1,1.0,combined,2,300,24,0.8415,0.9833,0.9967,0.8333,1.0,0.9964,0.8333,0.1667,0.0,19.667,16.196,-0.173,,,0.14
0.1,1.0,edge_only,2,300,24,0.8481,0.9967,0.9967,1.0,1.0,0.9964,1.0,0.0,0.0,19.667,16.196,-0.0459,,,0.16
0.1,1.0,content_only,2,300,24,0.836,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.042,15.091,,,,0.11
