n,fusion_old_s,fusion_new_s,speedup,total_old_s,total_new_s,rest_s
1000,1.3119999999980791,1.0310000000026776,1.2725509214303314,1.3439999999973224,1.0630000000019209,0.0319999999992433
5000,6.015999999995984,4.6560000000026776,1.2920962199296657,6.125999999996566,4.76600000000326,0.11000000000058208
20000,19.79699999999866,14.875,1.330890756302431,20.92199999999866,16.0,1.125
