dataset,mode,p,method,mask_seed,seed,k_used,onmi,modularity,f1,frac_nocontent,frac_no_text,frac_no_image,mean_conf,mean_alpha,fl_both,fl_text,fl_image,fl_none,fl_unaligned,error,secs
crisismmd,image,0.10,nfmcd_full,1,1,7,0.6202083300794358,0.5175238212222152,0.7509481838669106,0.0,0.0,0.11,0.5726745938195532,0.5508722156736873,0.89,0.11,0.0,0.0,0.0,,0.7
crisismmd,image,0.10,nfmcd_full,1,0,7,0.6490970442262272,0.5142379687729908,0.7522416213687537,0.0,0.0,0.11,0.5705565805573807,0.5493896063901664,0.89,0.11,0.0,0.0,0.0,,0.75
crisismmd,image,0.10,nfmcd_rank16,1,0,7,0.6591849858315982,0.515276508084717,0.749109430802268,0.0,0.0,0.11,0.39660004125337023,0.42762002887735917,0.89,0.11,0.0,0.0,0.0,,0.27
crisismmd,image,0.10,spectral_graph+content,1,0,7,0.8742161479627897,0.517842535040844,0.9531535883693892,0.0,0.0,0.11,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.10,nfmcd_rank16,1,1,7,0.7012687362290253,0.4451127570414605,0.7006930600900348,0.0,0.0,0.11,0.3962670208495899,0.42738691459471295,0.89,0.11,0.0,0.0,0.0,,0.23
crisismmd,image,0.10,spectral_graph+content,1,1,7,0.8742161479627897,0.517842535040844,0.9531535883693892,0.0,0.0,0.11,nan,nan,nan,nan,nan,nan,nan,,0.16
crisismmd,image,0.10,kmeans_content,1,0,7,0.30071268493676484,0.1567152830053617,0.5091260796526305,0.0,0.0,0.11,nan,nan,nan,nan,nan,nan,nan,,0.3
crisismmd,image,0.10,kmeans_content,1,1,7,0.2680211620607196,0.1276829559773714,0.4870646815812896,0.0,0.0,0.11,nan,nan,nan,nan,nan,nan,nan,,0.3
crisismmd,image,0.10,nfmcd_all_changes,2,0,7,0.74483916954088,0.3928808838271396,0.6446993125716226,0.0,0.0,0.10875,0.445625,0.35053124999999996,0.89125,0.10875,0.0,0.0,0.0,,0.36
crisismmd,image,0.10,nfmcd_all_changes,2,1,7,0.6490432066244207,0.3291320119079649,0.5844219344769803,0.0,0.0,0.10875,0.445625,0.35053124999999996,0.89125,0.10875,0.0,0.0,0.0,,0.34
crisismmd,image,0.10,nfmcd_full,2,0,7,0.5323005047995708,0.5231349708674734,0.639624030442932,0.0,0.0,0.10875,0.5783978727832196,0.5548785109482537,0.89125,0.10875,0.0,0.0,0.0,,0.7
crisismmd,image,0.10,nfmcd_full,2,1,7,0.47777433337431807,0.5163724476798718,0.6709034602239795,0.0,0.0,0.10875,0.5786564054791525,0.5550594838354067,0.89125,0.10875,0.0,0.0,0.0,,0.69
crisismmd,image,0.10,nfmcd_rank16,2,1,7,0.7525539317710894,0.39736749832788204,0.646930459076885,0.0,0.0,0.10875,0.39825598066973855,0.42877918646881696,0.89125,0.10875,0.0,0.0,0.0,,0.25
crisismmd,image,0.10,spectral_graph+content,2,0,7,0.902349350104744,0.5216122944713193,0.9658592736406453,0.0,0.0,0.10875,nan,nan,nan,nan,nan,nan,nan,,0.16
crisismmd,image,0.10,nfmcd_rank16,2,0,7,0.7543821622237948,0.39752877973649503,0.6473566594149088,0.0,0.0,0.10875,0.3994480229382728,0.42961361605679094,0.89125,0.10875,0.0,0.0,0.0,,0.28
crisismmd,image,0.10,spectral_graph+content,2,1,7,0.902349350104744,0.5216122944713193,0.9658592736406453,0.0,0.0,0.10875,nan,nan,nan,nan,nan,nan,nan,,0.12
crisismmd,image,0.10,kmeans_content,2,0,7,0.23064151004153444,0.10306338033030349,0.4485596311695565,0.0,0.0,0.10875,nan,nan,nan,nan,nan,nan,nan,,0.25
crisismmd,image,0.10,kmeans_content,2,1,7,0.3089676114344402,0.16246332312246997,0.518997968236547,0.0,0.0,0.10875,nan,nan,nan,nan,nan,nan,nan,,0.3
crisismmd,image,0.10,nfmcd_all_changes,3,1,7,0.728670581338664,0.38937003230774114,0.6420016424735965,0.0,0.0,0.09875,0.449375,0.35221874999999997,0.90125,0.09875,0.0,0.0,0.0,,0.3
crisismmd,image,0.10,nfmcd_all_changes,3,0,7,0.6899754997939145,0.45506486587641426,0.7043038644136058,0.0,0.0,0.09875,0.449375,0.35221874999999997,0.90125,0.09875,0.0,0.0,0.0,,0.34
crisismmd,image,0.10,nfmcd_full,3,0,7,0.5846835644642011,0.5202573214542638,0.7055186230243145,0.0,0.0,0.09875,0.583027958310002,0.5581195708170014,0.90125,0.09875,0.0,0.0,0.0,,0.7
crisismmd,image,0.10,nfmcd_full,3,1,7,0.5340028184530307,0.5226010896598702,0.6400084302520167,0.0,0.0,0.09875,0.5830064407561434,0.5581045085293003,0.90125,0.09875,0.0,0.0,0.0,,0.69
crisismmd,image,0.10,spectral_graph+content,3,0,7,0.885697173581812,0.5191137714199386,0.9592139717536573,0.0,0.0,0.09875,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.10,spectral_graph+content,3,1,7,0.885697173581812,0.5191137714199386,0.9592139717536573,0.0,0.0,0.09875,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.10,nfmcd_rank16,3,1,7,0.693215610587479,0.4551094222188715,0.6989681806455483,0.0,0.0,0.09875,0.40446074529411946,0.4331225217058836,0.90125,0.09875,0.0,0.0,0.0,,0.23
crisismmd,image,0.10,nfmcd_rank16,3,0,7,0.6970373260782101,0.44497534360784463,0.692339182402881,0.0,0.0,0.09875,0.4048525973132343,0.43339681811926406,0.90125,0.09875,0.0,0.0,0.0,,0.28
crisismmd,image,0.10,kmeans_content,3,0,7,0.273519937346856,0.14934277721397848,0.4972211927452311,0.0,0.0,0.09875,nan,nan,nan,nan,nan,nan,nan,,0.3
crisismmd,image,0.10,kmeans_content,3,1,7,0.31544635910364605,0.14103630354558452,0.5016766179238549,0.0,0.0,0.09875,nan,nan,nan,nan,nan,nan,nan,,0.33
crisismmd,image,0.10,nfmcd_all_changes,4,0,7,0.7485224741423073,0.380597599705903,0.6461018444258,0.0,0.0,0.085,0.455625,0.35503124999999996,0.915,0.085,0.0,0.0,0.0,,0.33
