dataset,scheme,p,method,seed,k_used,onmi,modularity,f1,frac_nocontent,mean_conf,mean_alpha,acc_overall,acc_affected,acc_background,n_affected,n_background,error,secs
crisismmd,mcar_control,0.40,nfmcd_full,2,7,0.616567086768986,0.513384892621934,0.752954779126907,0.155,0.1963813099055164,0.2874669169338614,0.9,nan,nan,nan,nan,,0.28
crisismmd,mcar_control,0.40,spectral_graph+content,1,7,0.7082271917675509,0.5008021815119963,0.8459865671377964,0.185,nan,nan,0.92,nan,nan,nan,nan,,0.14
crisismmd,mcar_control,0.40,spectral_graph+content,0,7,0.7775576871793133,0.507332384164701,0.9028445558116084,0.15125,nan,nan,0.945,nan,nan,nan,nan,,0.14
crisismmd,mcar_control,0.40,nfmcd_robust,0,7,0.6359916376556971,0.5251100510280989,0.7323615987266135,0.15125,0.14939672001129375,0.2545777040079056,0.92375,nan,nan,nan,nan,,0.22
crisismmd,mcar_control,0.40,spectral_graph+content,2,7,0.6481999977748493,0.4906930586364395,0.7403655662313574,0.155,nan,nan,0.87,nan,nan,nan,nan,,0.12
crisismmd,mcar_control,0.40,nfmcd_robust,2,7,0.6282317434027306,0.5216161643883872,0.7563509129810898,0.155,0.11575645235649284,0.23102951664954496,0.91375,nan,nan,nan,nan,,0.25
crisismmd,mcar_control,0.40,nfmcd_robust,1,7,0.6172057142655989,0.5245394369860567,0.727042812067073,0.185,0.15738944931061813,0.2601726145174327,0.91125,nan,nan,nan,nan,,0.25
crisismmd,mcar_control,0.60,nfmcd_full,2,7,0.550308616076015,0.5129703512893162,0.7548605470745253,0.38,0.08476635689159917,0.20933644982411942,0.8875,nan,nan,nan,nan,,0.11
crisismmd,mcar_control,0.60,nfmcd_full,1,7,0.5436940028388211,0.5125109816741228,0.7552388851047022,0.37125,0.10436972496508634,0.2230588074755604,0.89,nan,nan,nan,nan,,0.12
crisismmd,mcar_control,0.60,nfmcd_full,0,7,0.5511224679588193,0.5111722204718111,0.7505722493306862,0.35625,0.09952837906720195,0.21966986534704133,0.885,nan,nan,nan,nan,,0.17
crisismmd,mcar_control,0.40,kmeans_content,2,7,0.0,-0.00367865949085028,0.17242709386468175,0.155,nan,nan,0.21375,nan,nan,nan,nan,,0.25
crisismmd,mcar_control,0.40,kmeans_content,1,7,0.055475512318079234,0.011233616183131328,0.2676991412729864,0.185,nan,nan,0.2575,nan,nan,nan,nan,,0.3
crisismmd,mcar_control,0.40,kmeans_content,0,7,0.08564312812627017,0.03445330685668558,0.3078052646763288,0.15125,nan,nan,0.30625,nan,nan,nan,nan,,0.3
crisismmd,mcar_control,0.60,nfmcd_robust,0,7,0.5517137732592868,0.5156641482640953,0.7676269875209923,0.35625,0.04299145773485548,0.18009402041439876,0.89625,nan,nan,nan,nan,,0.14
crisismmd,mcar_control,0.60,nfmcd_robust,2,7,0.5483873536952261,0.5150774269996625,0.7581849904268622,0.38,0.04204754400316113,0.17943328080221277,0.8925,nan,nan,nan,nan,,0.16
crisismmd,mcar_control,0.60,spectral_graph+content,1,7,0.5182115547619283,0.506125116468815,0.6754212831035117,0.37125,nan,nan,0.87875,nan,nan,nan,nan,,0.11
crisismmd,mcar_control,0.60,nfmcd_robust,1,7,0.5532183904648711,0.5150378910901582,0.7578311508553136,0.37125,0.050251687710646885,0.18517618139745276,0.895,nan,nan,nan,nan,,0.2
crisismmd,mcar_control,0.60,spectral_graph+content,2,7,0.4789637192292199,0.4522457045071062,0.6421669566418027,0.38,nan,nan,0.8125,nan,nan,nan,nan,,0.12
crisismmd,mcar_control,0.60,spectral_graph+content,0,7,0.5979680306965405,0.47746233514310177,0.7805693950742966,0.35625,nan,nan,0.87,nan,nan,nan,nan,,0.16
crisismmd,mcar_control,0.80,nfmcd_full,0,7,0.6045705436317934,0.4825366959133383,0.7139471468838406,0.63125,0.01049286606178637,0.1573450062432504,0.84125,nan,nan,nan,nan,,0.08
crisismmd,mcar_control,0.80,nfmcd_full,2,7,0.5510234728839553,0.5159088106966684,0.7551973990535676,0.66,0.015163270522890859,0.16061428936602354,0.8925,nan,nan,nan,nan,,0.09
crisismmd,mcar_control,0.80,nfmcd_full,1,7,0.5477197417709571,0.5160159132663309,0.7555003246502708,0.6425,0.02231298262372911,0.1656190878366103,0.8925,nan,nan,nan,nan,,0.14
crisismmd,mcar_control,0.80,nfmcd_robust,0,7,0.5502415868398838,0.5157035795812466,0.7596239924374241,0.63125,0.011197648883552623,0.15783835421848683,0.89375,nan,nan,nan,nan,,0.11
crisismmd,mcar_control,0.60,kmeans_content,0,7,0.054368688985032,0.000702337651644791,0.2207456787049765,0.35625,nan,nan,0.25625,nan,nan,nan,nan,,0.26
crisismmd,mcar_control,0.80,nfmcd_robust,2,7,0.5510234728839553,0.5149978949742998,0.7582407087295302,0.66,0.01744151903120075,0.1622090633218405,0.89125,nan,nan,nan,nan,,0.08
crisismmd,mcar_control,0.60,kmeans_content,2,7,0.0,-0.002822717509316371,0.1614830066753186,0.38,nan,nan,0.21875,nan,nan,nan,nan,,0.25
crisismmd,mcar_control,0.60,kmeans_content,1,7,0.0,-0.0019951409739665162,0.21814012787514078,0.37125,nan,nan,0.23875,nan,nan,nan,nan,,0.26
crisismmd,mcar_control,0.80,nfmcd_robust,1,7,0.5493195832924727,0.5144663984723492,0.7547819080196224,0.6425,0.02150793731069581,0.165055556117487,0.89125,nan,nan,nan,nan,,0.12
crisismmd,mcar_control,0.80,spectral_graph+content,0,7,0.45578943536347416,0.44772321482922095,0.6391858492303811,0.63125,nan,nan,0.81625,nan,nan,nan,nan,,0.12
crisismmd,mcar_control,0.80,spectral_graph+content,2,7,0.412935865627688,0.4625201460561089,0.6816857643530561,0.66,nan,nan,0.83125,nan,nan,nan,nan,,0.14
crisismmd,mcar_control,0.80,spectral_graph+content,1,7,0.5149050468239398,0.5112085767737785,0.6611152332743864,0.6425,nan,nan,0.88375,nan,nan,nan,nan,,0.2
crisismmd,mcar_control,0.80,kmeans_content,1,7,0.0051532505380917915,-0.004829008028132482,0.13650841265102473,0.6425,nan,nan,0.24375,nan,nan,nan,nan,,0.24
crisismmd,mcar_control,0.80,kmeans_content,2,7,0.033811209041323065,0.004778950127897572,0.17581901262767977,0.66,nan,nan,0.27125,nan,nan,nan,nan,,0.24
crisismmd,mcar_control,0.80,kmeans_content,0,7,0.001145849289965084,0.013239739354182385,0.2175316687098765,0.63125,nan,nan,0.29125,nan,nan,nan,nan,,0.27
crisismmd,by_community,0.20,nfmcd_robust,0,7,0.6932250043061606,0.4585296130865283,0.6980873190549316,0.0625,0.31243054080351584,0.36870137856246105,0.80125,0.976303317535545,0.7385398981324278,211.0,589.0,,0.28
crisismmd,by_community,0.20,nfmcd_robust,2,7,0.6874768046842827,0.4554206681434828,0.696473795485851,0.0675,0.30038546797666893,0.36026982758366827,0.79625,0.976303317535545,0.7317487266553481,211.0,589.0,,0.27
crisismmd,by_community,0.20,nfmcd_robust,1,7,0.6893801363813474,0.4587023578170505,0.6969964388225565,0.05875,0.3070493874398014,0.3649345712078609,0.83625,0.976303317535545,0.7860780984719864,211.0,589.0,,0.33
crisismmd,by_community,0.20,nfmcd_full,0,7,0.6481633079219713,0.5156331680090817,0.7484677797626965,0.0625,0.4411401951688136,0.45879813661816954,0.90625,0.9715639810426541,0.8828522920203735,211.0,589.0,,0.52
crisismmd,by_community,0.20,nfmcd_full,2,7,0.6409382411591709,0.5083415957805939,0.7448304863602333,0.0675,0.43612376796136276,0.4552866375729539,0.90375,0.966824644549763,0.8811544991511036,211.0,589.0,,0.45
crisismmd,by_community,0.20,nfmcd_full,1,7,0.6316590509801,0.5172674026091441,0.7435099928215488,0.05875,0.434575824040903,0.4542030768286321,0.91,0.9715639810426541,0.8879456706281834,211.0,589.0,,0.5
crisismmd,by_community,0.20,spectral_graph+content,1,7,0.8208853690379065,0.5153389915565103,0.926546631933249,0.05875,nan,nan,0.95625,0.995260663507109,0.9422750424448217,211.0,589.0,,0.12
crisismmd,by_community,0.20,spectral_graph+content,0,7,0.8486548844560486,0.5179871235098884,0.9409450271780507,0.0625,nan,nan,0.9625,0.990521327014218,0.9524617996604414,211.0,589.0,,0.19
crisismmd,by_community,0.20,spectral_graph+content,2,7,0.8544998350988958,0.5164360398306089,0.9454959283016603,0.0675,nan,nan,0.96375,0.995260663507109,0.9524617996604414,211.0,589.0,,0.14
crisismmd,by_community,0.40,nfmcd_full,0,7,0.6238753868033896,0.5210625152260319,0.7295828246012006,0.2525,0.28464011219583296,0.349248078537083,0.89875,0.976303317535545,0.8709677419354839,211.0,589.0,,0.3
crisismmd,by_community,0.20,kmeans_content,1,7,0.27710639660055447,0.11805510435576527,0.49652306693020426,0.05875,nan,nan,0.50125,0.3791469194312796,0.5449915110356537,211.0,589.0,,0.38
crisismmd,by_community,0.20,kmeans_content,0,7,0.23400070647847282,0.11199878873687623,0.47369389613749563,0.0625,nan,nan,0.48625,0.4549763033175355,0.49745331069609505,211.0,589.0,,0.39
crisismmd,by_community,0.40,nfmcd_full,1,7,0.5925767581695347,0.511091788952211,0.7296177378255672,0.24125,0.2978966684204869,0.3585276678943409,0.88125,0.976303317535545,0.8471986417657046,211.0,589.0,,0.3
crisismmd,by_community,0.40,nfmcd_full,2,7,0.6219499654770488,0.5187745993370267,0.7318671662442174,0.25,0.28400345297241125,0.3488024170806879,0.8975,0.976303317535545,0.8692699490662139,211.0,589.0,,0.33
crisismmd,by_community,0.20,kmeans_content,2,7,0.28035697153173933,0.1418672061177657,0.5125842545061879,0.0675,nan,nan,0.53,0.4597156398104265,0.5551782682512734,211.0,589.0,,0.41
crisismmd,by_community,0.40,spectral_graph+content,0,7,0.8236114533633563,0.5122768203138097,0.9325389448475947,0.2525,nan,nan,0.955,0.976303317535545,0.9473684210526315,211.0,589.0,,0.11
crisismmd,by_community,0.40,spectral_graph+content,1,7,0.8415264990606256,0.5132969095344339,0.9408977616773652,0.24125,nan,nan,0.96,0.985781990521327,0.9507640067911715,211.0,589.0,,0.12
crisismmd,by_community,0.40,spectral_graph+content,2,7,0.8402030462989523,0.5158121673623244,0.93795601749512,0.25,nan,nan,0.9625,0.995260663507109,0.9507640067911715,211.0,589.0,,0.12
crisismmd,by_community,0.40,nfmcd_robust,0,7,0.6310159074551795,0.5216331711050153,0.7332571829332808,0.2525,0.19518019203124215,0.28662613442186946,0.92625,0.976303317535545,0.9083191850594228,211.0,589.0,,0.25
crisismmd,by_community,0.40,nfmcd_robust,2,7,0.6321067208480601,0.5192865161504608,0.7318805863378574,0.25,0.1887223397377365,0.2821056378164155,0.90625,0.976303317535545,0.8811544991511036,211.0,589.0,,0.28
crisismmd,by_community,0.40,nfmcd_robust,1,7,0.6755651176006442,0.4603180586521284,0.6919394099834267,0.24125,0.2070048134110814,0.29490336938775696,0.8125,0.976303317535545,0.7538200339558574,211.0,589.0,,0.31
crisismmd,by_community,0.40,kmeans_content,0,7,0.20422181721021682,0.1454863107227118,0.40800008548705213,0.2525,nan,nan,0.46625,0.7772511848341233,0.3548387096774194,211.0,589.0,,0.33
crisismmd,by_community,0.40,kmeans_content,2,7,0.25356729602912,0.16852986787350063,0.4856039577948654,0.25,nan,nan,0.5425,0.8009478672985783,0.44991511035653653,211.0,589.0,,0.28
crisismmd,by_community,0.40,kmeans_content,1,7,0.26960330908727004,0.16652571103868952,0.4960017249913964,0.24125,nan,nan,0.5525,0.7819905213270142,0.4702886247877759,211.0,589.0,,0.3
crisismmd,by_community,0.60,nfmcd_full,2,7,0.6058618542888735,0.5169615954868986,0.7571217925273128,0.34875,0.17984776001473665,0.27589343201031563,0.9025,0.957345971563981,0.8828522920203735,211.0,589.0,,0.19
crisismmd,by_community,0.60,nfmcd_full,1,7,0.6090062129524649,0.5227976605284482,0.7190693411668468,0.36375,0.20741082016921028,0.29518757411844715,0.90875,0.976303317535545,0.8845500848896435,211.0,589.0,,0.23
crisismmd,by_community,0.60,nfmcd_full,0,7,0.6217571812692684,0.5211591376419051,0.7246544972183676,0.3525,0.22085360965658055,0.3045975267596063,0.9025,0.976303317535545,0.8760611205432938,211.0,589.0,,0.31
